INFOS GENERALES,,,,,,CONTEXTE DU RÉCIT,,,,," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMPREINTE CARBONE,SCORES,,,,,,,,,,,,,Copie paramètres globaux,,,,,,,,,,,,,,
TITRE,ANNEE,PAYS,CANAL,TYPE,SAISON,LIEU(X) DE L'ACTION,EPOQUE DU RECIT,TRAITEMENT DU RECIT,TYPE DE MONDE,GENRE,POSITION DANS LE RECIT,GENRE,AGE,ETHNICITÉ,BEAUTE,POIDS,PAYS DE RESIDENCE,TYPE D'HABITAT,LIEU D'HABITAT,Appartement,Colocation,Maison,Studio,Hôtel,Ferme,Alternatif / Communautaire,Ne sait pas / Autre,ACTIVITE,SECTEUR D'ACTIVITE,CATEGORIE SOCIALE,ASPIRATIONS,,,,,,,,,,,,,,,,,,,,,VALEURS / TRAITS DE CARACTÈRE,,,,,,,,,,,,,,,,,,,,,EMPREINTE PERSO,CONSOMMATION & MATERIALISME,CONSOMMATION & MATERIALISME,MODES DE VIE,MODES DE VIE,RAPPORT AU VIVANT,RAPPORT AU VIVANT,CRISE ENVIRONNEMENTALE,CRISE ENVIRONNEMENTALE,Y A-T-IL UNE PRISE DE RECUL ?,EST-CE NECESSAIRE ?,Label / corpus,TYPOLOGIE,Corpus,Année,Pays,Canal,Type,Lieux action,Epoque,Traitement,Monde,Genre,Conso,Vie,Vivant,Climat,Recul,Nécessité
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M-M-N-N,Global Top 10 Netflix,2022,USA,NETFLIX,SÉRIE,"USA, New-York",2020-2030,Ni dystopique ni utopique,"Réaliste (monde proche du nôtre dans son fonctionnement : physique, système politique)",Comédie-romantique,-2,-2,0,0,"Pas du tout, tout est montré au premier degré","Pas du tout, on aurait pu raconter la même chose autrement"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M-M-N-N,Global Top 10 Netflix,2022,USA,NETFLIX,SÉRIE,"USA, New-York",2020-2030,Ni dystopique ni utopique,"Réaliste (monde proche du nôtre dans son fonctionnement : physique, système politique)",Comédie-romantique,-2,-2,0,0,"Pas du tout, tout est montré au premier degré","Pas du tout, on aurait pu raconter la même chose autrement"
Meurtres à,2016,France,FRANCE TV,SÉRIE,,France,2010-2020,Ni dystopique ni utopique,"Réaliste (monde proche du nôtre dans son fonctionnement : physique, système politique)",Thriller / Policier,"Protagoniste (""le/la gentil.le"")",Masculin,Entre 30 et 50 ans,Caucasien/ne,5,,France,Maison,Periurbain,,,Periurbain,,,,,,Gendarme,Sécurité,Classe moyenne,"Amour, Amitiés, Justice, amour du travail bien fait",Amour,Amitiés,Justice,amour du travail bien fait,,,,,,,,,,,,,,,,,"Courage / perseverance, Curiosité, Créativité / originalité, Respect, Justice / égalité, Générosité, Esprit d'équipe, Humour",Courage / perseverance,Curiosité,Créativité / originalité,Respect,Justice / égalité,Générosité,Esprit d'équipe,Humour,,,,,,,,,,,,,Entre 10 et 30 tonnes,-1,"voitures, bateau mais beaucoup pour le boulot",0,,0,,0,,"Pas du tout, tout est montré au premier degré",Tout n'était pas indispensable,,N-N-N-N,,2016,France,FRANCE TV,SÉRIE,France,2010-2020,Ni dystopique ni utopique,"Réaliste (monde proche du nôtre dans son fonctionnement : physique, système politique)",Thriller / Policier,-1,0,0,0,"Pas du tout, tout est montré au premier degré",Tout n'était pas indispensable
,,,,,,,,,,,"Protagoniste (""le/la gentil.le"")",Féminin,Entre 30 et 50 ans,Caucasien/ne,5,,Suisse,Ne sait pas / Autre,On ne sait pas / Autre,,,,,,,,On ne sait pas / Autre,Gendarme,Sécurité,Classe moyenne,"Amour, Amitiés, Famille, Carrière, Reconnaissance sociale, Justice",Amour,Amitiés,Famille,Carrière,Reconnaissance sociale,Justice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entre 10 et 30 tonnes,,,,,,,,,,,,N-N-N-N,,2016,France,FRANCE TV,SÉRIE,France,2010-2020,Ni dystopique ni utopique,"Réaliste (monde proche du nôtre dans son fonctionnement : physique, système politique)",Thriller / Policier,-1,0,0,0,"Pas du tout, tout est montré au premier degré",Tout n'était pas indispensable
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N-N-N-N,,2016,France,FRANCE TV,SÉRIE,France,2010-2020,Ni dystopique ni utopique,"Réaliste (monde proche du nôtre dans son fonctionnement : physique, système politique)",Thriller / Policier,-1,0,0,0,"Pas du tout, tout est montré au premier degré",Tout n'était pas indispensable
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N-N-N-N,,2016,France,FRANCE TV,SÉRIE,France,2010-2020,Ni dystopique ni utopique,"Réaliste (monde proche du nôtre dans son fonctionnement : physique, système politique)",Thriller / Policier,-1,0,0,0,"Pas du tout, tout est montré au premier degré",Tout n'était pas indispensable
Dernière nuit Milan,2022,Italie,SALLE DE CINÉMA,FILM,,Italie,2020-2030,Ni dystopique ni utopique,"Réaliste (monde proche du nôtre dans son fonctionnement : physique, système politique)",Thriller / Policier,"Protagoniste (""le/la gentil.le"")",Masculin,Entre 50 et 70 ans,Caucasien/ne,5,,Italie,Appartement,Periurbain,Periurbain,,,,,,,,Policier.e,Sécurité,Classe populaire,Justice,Justice,,,,,,,,,,,,,,,,,,,,"Courage / perseverance, Justice / égalité",Courage / perseverance,Justice / égalité,,,,,,,,,,,,,,,,,,,Entre 2 et 10 tonnes,-3,"Beaucoup d'actions en voitures, hélicoptère, voitures de police, autoroute, circulation dense",2,,0,Ambiance hyper urbanisée action principale sur passage souterrain autoroutier,0,Aucun lien avec l'environnement tout au contraire car se passe en grande partie sur un périphérique très passant,"Pas du tout, tout est montré au premier degré","Oui, l'histoire n'aurait eu aucun sens sinon",,,,2022,Italie,SALLE DE CINÉMA,FILM,Italie,2020-2030,Ni dystopique ni utopique,"Réaliste (monde proche du nôtre dans son fonctionnement : physique, système politique)",Thriller / Policier,-3,2,0,0,"Pas du tout, tout est montré au premier degré","Oui, l'histoire n'aurait eu aucun sens sinon"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,Italie,SALLE DE CINÉMA,FILM,Italie,2020-2030,Ni dystopique ni utopique,"Réaliste (monde proche du nôtre dans son fonctionnement : physique, système politique)",Thriller / Policier,-3,2,0,0,"Pas du tout, tout est montré au premier degré","Oui, l'histoire n'aurait eu aucun sens sinon"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,Italie,SALLE DE CINÉMA,FILM,Italie,2020-2030,Ni dystopique ni utopique,"Réaliste (monde proche du nôtre dans son fonctionnement : physique, système politique)",Thriller / Policier,-3,2,0,0,"Pas du tout, tout est montré au premier degré","Oui, l'histoire n'aurait eu aucun sens sinon"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,Italie,SALLE DE CINÉMA,FILM,Italie,2020-2030,Ni dystopique ni utopique,"Réaliste (monde proche du nôtre dans son fonctionnement : physique, système politique)",Thriller / Policier,-3,2,0,0,"Pas du tout, tout est montré au premier degré","Oui, l'histoire n'aurait eu aucun sens sinon"
